iter	MAE
0	200.4428936
1	196.6110159
2	192.9519091
3	189.3262413
4	186.2551364
5	183.420773
6	180.2299715
7	177.2920159
8	174.3526592
9	171.7033344
10	169.1900629
11	166.8902329
12	164.5265943
13	162.2790994
14	159.8360212
15	157.9684752
16	155.8011795
17	153.6740596
18	151.6354903
19	149.6317018
20	147.9075211
21	146.1724363
22	144.4556213
23	142.5950458
24	141.027261
25	139.4881271
26	138.0072734
27	136.5349183
28	135.1736608
29	133.9162229
30	132.7627767
31	131.7147682
32	130.5626607
33	129.4132062
34	128.3193142
35	127.2704055
36	126.3418388
37	125.2402376
38	124.2519354
39	123.2586243
40	122.7433246
41	121.7544413
42	120.908511
43	119.938271
44	119.1076938
45	118.5766382
46	117.8110387
47	117.0810439
48	116.4429321
49	115.5006585
50	114.8226789
51	114.1985149
52	113.453574
53	112.8329802
54	112.2463515
55	111.3356491
56	110.6020759
57	110.1526765
58	109.5614949
59	108.9482514
60	108.4233187
61	107.8990118
62	107.130615
63	106.5239937
64	106.0365013
65	105.5991148
66	105.131957
67	104.6831243
68	103.9883707
69	103.5646659
70	103.0472865
71	102.5457477
72	102.1519952
73	101.7082849
74	101.1396413
75	100.6836945
76	100.2256295
77	99.73809467
78	99.18074751
79	98.85374426
80	98.53877237
81	98.23504717
82	97.96730495
83	97.47719659
84	97.21382416
85	96.90075399
86	96.64041565
87	96.4287106
88	96.07053716
89	95.76026738
90	95.37995757
91	95.05296733
92	94.66871337
93	94.35107574
94	94.06707718
95	93.81324551
96	93.55676997
97	93.22203113
98	92.92869754
99	92.53635395
100	92.26318378
101	91.90112716
102	91.6448391
103	91.44690107
104	91.18312592
105	90.85865504
106	90.56596286
107	90.46063018
108	90.2436611
109	90.06532545
110	89.7502673
111	89.50101507
112	89.24997108
113	89.03173003
114	88.73747661
115	88.42992525
116	88.07131432
117	87.81519563
118	87.57590997
119	87.15126153
120	86.9050868
121	86.67842859
122	86.0933516
123	85.84495937
124	85.58666337
125	85.44408472
126	85.17200515
127	84.84220365
128	84.54310751
129	84.30398192
130	84.027035
131	83.7809286
132	83.57692095
133	83.44167664
134	83.29873498
135	83.09087587
136	82.87221999
137	82.60793621
138	82.4056705
139	82.15567897
140	81.80660363
141	81.63256954
142	81.52171561
143	81.21952013
144	81.06985735
145	80.95015688
