iter	Passed	Remaining
0	50	250285
1	53	132805
2	56	93622
3	59	74015
4	64	64677
5	69	57738
6	72	51671
7	75	47010
8	78	43373
9	80	40377
10	84	38380
11	88	36673
12	91	34939
13	94	33478
14	96	32149
15	99	31027
16	103	30361
17	106	29491
18	110	28882
19	113	28252
20	116	27643
21	119	27033
22	123	26815
23	128	26673
24	131	26166
25	134	25752
26	137	25416
27	140	25019
28	143	24657
29	147	24360
30	149	24036
31	152	23730
32	155	23440
33	158	23192
34	161	22964
35	164	22742
36	168	22537
37	170	22304
38	173	22121
39	178	22106
40	181	21900
41	184	21733
42	187	21564
43	190	21408
44	193	21261
45	195	21101
46	198	20969
47	201	20828
48	204	20700
49	207	20570
50	210	20459
51	213	20331
52	216	20224
53	219	20132
54	222	20037
55	225	19947
56	228	19821
57	231	19715
58	234	19625
59	237	19531
60	240	19482
61	243	19405
62	246	19327
63	249	19243
64	252	19186
65	255	19113
66	258	19036
67	261	18958
68	264	18900
69	267	18828
70	270	18760
71	273	18687
72	275	18624
73	278	18564
74	281	18509
75	284	18457
76	287	18399
77	290	18342
78	295	18407
79	302	18587
80	309	18765
81	313	18778
82	315	18717
83	318	18656
84	321	18587
85	324	18536
86	327	18475
87	329	18411
88	332	18358
89	335	18297
90	338	18283
91	344	18378
92	347	18332
93	350	18280
94	353	18230
95	355	18185
96	358	18133
97	361	18087
98	364	18040
99	367	17997
100	370	17960
101	373	17919
102	375	17875
103	376	17745
104	379	17705
105	383	17707
106	386	17688
107	389	17653
108	392	17615
109	395	17577
110	398	17542
111	401	17505
112	403	17467
113	406	17427
114	409	17388
115	412	17354
116	415	17320
117	417	17280
118	420	17250
119	423	17216
120	426	17188
121	429	17155
122	431	17124
123	434	17097
124	437	17071
125	440	17050
126	443	17027
127	446	17009
128	449	16976
129	452	16945
130	455	16923
131	458	16899
132	461	16887
133	464	16875
134	467	16859
135	470	16843
136	474	16828
137	477	16819
138	481	16836
139	484	16835
140	488	16818
141	491	16809
142	495	16843
143	499	16837
144	502	16832
145	506	16831
146	510	16837
147	513	16831
148	517	16832
149	520	16828
150	520	16725
151	524	16736
152	528	16735
153	531	16733
154	535	16748
155	539	16743
156	542	16733
157	545	16718
158	548	16707
159	551	16693
160	554	16673
161	557	16658
162	561	16654
163	564	16644
164	567	16623
165	570	16609
166	573	16596
167	577	16614
168	581	16627
169	584	16614
170	587	16599
171	590	16581
172	594	16575
173	597	16568
174	600	16555
175	603	16539
176	606	16521
177	609	16511
178	612	16500
179	616	16511
180	620	16532
181	624	16519
182	626	16499
183	629	16484
184	634	16505
185	637	16496
186	640	16487
187	643	16481
188	647	16476
189	650	16471
190	653	16465
191	658	16487
192	661	16479
193	664	16469
194	668	16466
195	671	16458
196	674	16444
197	677	16425
198	680	16407
199	683	16393
200	685	16378
201	688	16365
202	691	16351
203	694	16330
204	699	16352
205	702	16344
206	705	16334
207	708	16320
208	711	16310
209	714	16302
210	717	16288
211	720	16281
212	724	16275
213	727	16266
214	730	16249
215	733	16235
216	736	16225
217	740	16238
218	743	16238
219	746	16229
220	749	16216
221	752	16201
222	756	16194
223	759	16183
224	761	16169
225	764	16158
226	767	16145
227	770	16131
228	773	16114
229	776	16102
230	779	16096
231	782	16088
232	786	16081
233	789	16073
234	792	16061
235	795	16050
236	798	16043
237	801	16032
238	804	16026
239	807	16016
240	810	16013
241	814	16004
242	817	15997
243	820	15990
244	823	15983
245	826	15976
246	829	15968
247	832	15959
248	836	15960
249	839	15952
250	842	15942
251	845	15928
252	848	15918
253	851	15910
254	854	15899
255	857	15889
256	860	15888
257	864	15888
258	868	15894
259	872	15910
260	875	15903
261	878	15894
262	881	15881
263	885	15891
264	888	15883
265	891	15873
266	894	15862
267	897	15852
268	900	15841
269	905	15858
270	908	15847
271	911	15838
272	914	15825
273	916	15815
274	919	15806
275	922	15797
276	927	15817
277	930	15804
278	933	15796
279	936	15788
280	939	15777
281	943	15793
282	947	15786
283	950	15779
284	953	15772
285	956	15763
286	959	15754
287	962	15746
288	965	15736
289	968	15733
290	971	15721
291	974	15712
292	977	15703
293	980	15692
294	983	15691
295	986	15684
296	990	15681
297	993	15682
298	998	15691
299	1001	15683
300	1004	15677
301	1007	15666
302	1010	15659
303	1013	15651
304	1016	15641
305	1019	15632
306	1022	15624
307	1025	15615
308	1028	15607
309	1031	15603
310	1035	15608
311	1038	15603
312	1041	15594
313	1044	15585
314	1047	15578
315	1050	15570
316	1053	15564
317	1056	15556
318	1059	15547
319	1062	15543
320	1066	15549
321	1069	15542
322	1073	15539
323	1076	15532
324	1079	15523
325	1083	15528
326	1086	15520
327	1088	15510
328	1091	15502
329	1094	15495
330	1097	15487
331	1101	15488
332	1104	15485
333	1108	15480
334	1111	15472
335	1114	15468
336	1118	15473
